Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	2.771456502	2.639196992	10.95047374	-3.871772715	9.360285767	6.730724837	3.909520975	9.075311485	0.499300465	7.917965731	3.652467282	-3.237338237	6.230223972	1.933000086	0.019186681	4.556413924	3.57299159	6.187260013	4.24860526	0.514834398
3600	1.254204899	-0.050124338	7.623401914	-4.847402142	5.681399023	5.416785525	0.862998575	5.582676893	-1.618674557	3.888765778	2.464150582	-5.214284808	2.505897202	-1.251593191	-2.221365806	3.566760487	1.154556136	3.316031847	1.3256282	-1.334403718
4500	2.221251221	-0.033691621	6.746643806	-3.906301409	4.49843431	6.858908111	0.920624416	4.874177992	-1.328396446	2.993022298	4.327355711	-4.440326574	2.018165377	-1.336350307	-1.845681799	5.588912748	1.065878743	2.677158781	0.789414714	-1.21020382
5400	3.78427191	0.061065448	6.054051938	-3.37606466	3.639316615	9.083023686	1.056163251	4.432231833	-1.152493904	2.28142915	6.562439074	-3.732479561	1.64293018	-1.434218676	-1.586558499	8.562031264	1.155484969	2.21891265	0.40102473	-1.104430767
6300	5.721481213	0.290101468	5.56269274	-3.000578229	2.941095664	10.58801396	1.361722094	4.086936084	-1.071281033	1.669591579	8.197300501	-2.905340692	1.299433827	-1.57837874	-1.477683865	9.074534977	1.527241463	1.901594666	0.118782317	-1.091135855
7200	6.006424321	0.561302486	5.183274347	-2.672064086	2.387494185	10.49715699	1.796637006	3.895687619	-0.978864213	1.202175578	8.50602174	-2.083927153	1.077475801	-1.585117942	-1.371809091	9.528885147	2.156243163	1.676150044	-0.074345304	-1.093473278
8100	6.67640044	1.051485192	4.970050073	-2.468352675	1.916313016	11.91632781	2.606489421	3.804379672	-0.952422219	0.85093289	9.609142673	-0.906272284	0.940234052	-1.602220425	-1.318925122	11.63919162	3.471649761	1.618436627	-0.193202762	-1.066620569
9000	8.760297871	1.848837264	4.781440403	-2.246548237	1.549605484	15.14361028	4.010539153	3.893018536	-0.914339877	0.610022687	13.00338179	0.741266868	1.009335023	-1.581134787	-1.190861426	15.40984826	5.686361714	1.752334488	-0.220282561	-1.023616069
9900	12.97937585	3.096451261	4.740075853	-2.016544717	1.27176824	19.55345981	6.153070485	4.054658329	-0.820961485	0.372355204	16.51673971	2.855998835	1.266561832	-1.506028344	-1.117875565	22.26914716	8.313939041	2.018233277	-0.26436625	-0.959879291
10800	16.34421142	4.761324061	4.853071125	-1.815842058	0.999241059	23.7393433	9.008499823	4.429691214	-0.712819589	0.213819095	19.48964869	5.162206506	1.679473521	-1.439042274	-1.019491378	25.54089578	10.09766348	2.57883634	-0.208070123	-0.913246156
