Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	0.503167901	1.927005744	2.251169274	3.380227654	-0.298429779	1.747176097	2.235299461	3.261570635	3.952572306	-3.813870467	-2.150321016	-0.016474947	2.071523738	1.509798433	-2.230641489	-1.871882344	-2.487901749	0.716683705	0.049653925	-2.356352255
3600	-1.565391595	-0.35298161	-0.065777848	0.563604584	-2.25220151	0.8031179	-0.3331041	0.882687511	0.602137038	-5.502874082	-3.087315245	-1.900549843	-0.969064377	-1.955603683	-3.455838915	-2.118151002	-2.809772099	-1.466834643	-1.866992703	-2.644657953
4500	-1.090043306	-0.183909965	0.025570404	0.496791445	-1.708138763	2.188283685	-0.157829718	0.793039067	0.628311386	-4.75237927	-2.12769248	-1.519054631	-1.024950884	-1.706675134	-2.645241728	-1.065707475	-2.044382155	-1.208343205	-1.496691612	-1.680743382
5400	-0.519793178	-0.136035991	0.059758604	0.425418904	-1.270718728	3.829086064	0.168499381	0.718287407	0.566226115	-4.341485453	-1.287920576	-1.22433815	-0.989712522	-1.412367839	-2.322750499	-0.264726258	-1.637029886	-1.069612968	-1.253493221	-1.26881164
6300	0.066599976	0.011357423	0.033419455	0.365213487	-1.103634921	6.037307723	0.586764844	0.576683719	0.528719304	-4.072304893	-0.49022196	-1.072212608	-0.964710761	-1.22550188	-2.097805509	0.624525187	-1.380437472	-0.936190701	-1.064646632	-1.143100157
7200	0.752664775	0.073663652	-0.015742807	0.227070566	-1.010445469	8.354684455	1.228666711	0.519303721	0.440541949	-3.965608387	0.48072276	-0.905608504	-0.996809133	-1.110348952	-1.946536369	1.670995058	-1.151623169	-0.866479697	-0.913964898	-1.064883325
8100	1.675319121	0.214843208	-0.079029419	0.187468232	-0.917774415	9.907521355	2.102628587	0.483190436	0.341480993	-3.775368313	1.50134801	-0.700019877	-0.882336657	-1.062732553	-1.878018712	2.827961639	-0.947346755	-0.81399634	-0.849881283	-1.034664203
9000	2.785932598	0.365619913	-0.094418656	0.062142901	-0.899541317	11.85302949	3.161204484	0.579435274	0.276136918	-3.671770979	2.907069169	-0.472960901	-0.894688512	-0.985856017	-1.783423589	4.08223464	-0.654010815	-0.804367177	-0.798115909	-1.032200911
9900	3.849404614	0.617858407	-0.100059247	0.018500012	-0.859640491	15.26617274	4.221482816	0.754293571	0.258360682	-3.626814789	4.395855328	-0.236943044	-0.814323662	-0.907636048	-1.691808971	5.302734406	-0.233778312	-0.757392402	-0.755044218	-0.9786023
10800	5.161703191	0.875964332	-0.101474705	-0.062810221	-0.833511756	19.60596522	5.340680021	1.07279386	0.267027319	-3.552276693	5.155189102	0.047776044	-0.784201578	-0.828768643	-1.607780056	6.486845307	0.284448301	-0.695553363	-0.702486235	-0.953288999
11700	6.428477448	1.183339152	-0.066984537	-0.03330856	-0.826964703	25.25243378	6.663865803	1.583720386	0.293508841	-3.476273889	6.054387795	0.385181631	-0.695974152	-0.812106849	-1.53960009	7.684551817	0.947370687	-0.663778282	-0.653613069	-0.892986603
12600	7.777177806	1.685436348	0.000747327	-0.015931579	-0.797380285	32.2013778	8.841710556	2.423581879	0.388172953	-3.404663783	7.238698062	0.852640917	-0.599946241	-0.705499508	-1.470002419	9.113887745	1.866617271	-0.563224905	-0.608868214	-0.845111172
13500	9.253168826	2.320463342	0.094441045	-0.056280798	-0.746087571	39.88853509	11.25243224	3.55048694	0.503818005	-3.33076037	8.590817073	1.368999844	-0.476950697	-0.626878531	-1.386844117	10.77057306	3.091556036	-0.451418097	-0.529285762	-0.855722738
14400	10.64877427	3.176974995	0.291888246	0.007415708	-0.70697934	46.87375017	14.38331559	5.068621376	0.726109204	-3.193819705	10.06241205	2.08603067	-0.282361389	-0.527801889	-1.3235242	12.78476359	4.369759475	-0.289139479	-0.475164122	-0.785295264
15300	11.99885546	4.27539493	0.497448076	0.073786949	-0.65767992	53.47676449	18.58310465	7.027878513	1.045589406	-3.108203025	11.83994023	2.932026808	-0.120831047	-0.472161198	-1.221270775	15.00244662	5.673366525	-0.100516901	-0.366128948	-0.720049353
16200	13.55001219	5.560434432	0.841355747	0.125824682	-0.570497686	56.41783942	23.72939891	9.173657167	1.564008765	-2.982181299	13.98117073	4.104096549	0.161879387	-0.360625293	-1.166361354	17.62319045	6.636121075	0.144673469	-0.295960404	-0.638310865
17100	15.09680712	7.119902438	1.149439935	0.272040119	-0.499141522	57.68569136	30.28846995	11.05599855	2.280504899	-2.767111165	16.41005007	5.45167658	0.407572689	-0.236159056	-1.047481786	20.45557122	7.740858048	0.42071119	-0.184657122	-0.646569852
18000	16.74820686	8.546678284	1.617658521	0.409032058	-0.408653885	56.14941409	37.05431578	13.48314867	3.410616878	-2.547678153	19.49538263	6.946529794	0.667768117	-0.057439863	-0.966028249	23.72708789	9.058187604	0.840505137	-0.095940219	-0.529859608
18900	18.68500918	9.714374298	2.227007496	0.599778666	-0.361363307	53.84200048	44.38229937	17.34152125	4.986281325	-2.266758815	22.80990077	8.131937454	1.059760446	0.132141589	-0.879932521	27.12281089	10.66000929	1.308597694	0.050630273	-0.490072471
19800	20.99074287	11.20400372	3.062259075	0.813136752	-0.257904077	51.57067417	51.85317622	23.01147578	7.086386935	-1.855256506	25.96965891	9.195571374	1.47461951	0.354938883	-0.802699503	30.00627384	12.66938073	2.012625593	0.162591596	-0.437587581
20700	23.76126904	12.7308701	4.152415534	1.132359168	-0.091496966	50.07725249	56.79855543	30.80321229	9.688060798	-1.23650585	30.13391571	10.3135427	2.049780996	0.612396951	-0.654346322	32.84557543	15.14173148	2.904434121	0.43625088	-0.422445732
21600	26.23558159	14.11288337	5.428123952	1.376353156	-0.05848319	48.28456916	59.74532593	37.1405958	11.34941889	-0.54284851	34.12276162	11.49619069	2.54345943	0.811229495	-0.594164369	34.93437996	18.12836654	3.915210222	0.685487741	-0.350986534
22500	29.13613583	15.74146637	7.044131776	1.749433927	0.075600645	46.06352402	61.29778076	44.6771936	13.739841	0.345357924	37.9970954	12.74508253	3.073055486	1.063402596	-0.478061005	36.53483634	21.50984644	4.928054503	1.043835253	-0.301431734
23400	31.95264395	17.74141217	8.899094141	2.284136069	0.183959614	43.84485176	59.97935136	51.45235202	17.21689968	1.369647488	41.15083525	14.12791805	3.631853101	1.373387545	-0.310637837	37.82537394	25.02504037	6.113316795	1.526538892	-0.231023804
24300	34.61294949	20.1444718	10.57271599	2.845384572	0.431371098	41.95449947	54.9359673	56.90161227	21.61354681	2.48919141	42.62316816	15.5447978	4.134363649	1.708594404	-0.209760407	38.38308369	27.99101983	7.32541642	2.244593721	-0.172682915
25200	37.30905599	22.90732115	11.91384304	3.653317636	0.564569857	39.93665489	51.8826187	60.14299482	26.94897289	3.78421566	43.61247972	17.15142744	4.747698834	2.126122602	-0.025294688	38.47218661	31.04748256	8.727751251	3.177154696	-0.049996742
26100	39.15020669	25.66028696	13.1619929	4.573484836	0.809492419	38.01645939	49.19192267	61.7119409	32.86428133	5.257873857	44.2001075	18.89412331	5.300207432	2.522571888	0.177606441	38.22379017	33.4140793	10.05510724	4.295013041	0.025543648
27000	40.49236704	28.65467129	14.73583506	5.667513868	1.078204752	36.29226165	48.29094443	60.98259614	39.20362371	7.242678772	44.58295321	20.60610459	5.943136983	2.923957262	0.362793795	37.59763632	35.62589406	11.7469008	5.361702209	0.136127376
27900	41.39959888	32.32337612	16.48747367	6.90771713	1.46205449	33.79438335	46.45709301	58.58769328	45.1540727	9.701340013	45.00677888	22.29213718	6.681655068	3.399848062	0.556927372	37.02416017	37.67442054	13.68992137	6.519298967	0.262520363
28800	41.57283676	36.32167015	18.50756861	8.273906742	1.83004895	31.59061447	45.37484655	55.84890298	50.72779562	12.77875204	44.98220727	24.33847399	7.587796206	3.799162532	0.825135299	36.2242173	38.72125296	15.98343823	7.574348467	0.439255217
29700	41.16020289	39.97310913	20.92849584	9.582232343	2.306955371	29.90180313	42.97772384	52.7074051	54.21776298	16.21860244	45.2226352	26.42024839	8.452551258	4.193666001	1.080173936	35.31947925	39.73093003	18.25504743	8.856088913	0.612277011
30600	40.91509714	43.32296816	23.33385169	10.84316725	2.889116377	27.7896257	41.32415064	50.3860598	55.74274838	20.3692016	45.05462367	28.82411303	9.172032783	4.566988806	1.386763237	34.47971918	40.34493893	20.62607461	10.3473649	0.829967968
31500	40.30825102	46.70291659	26.1296975	12.16919355	3.503158742	26.47665643	38.9455927	48.70237561	55.17177422	25.32532126	44.97015339	31.56453105	10.01097709	4.694560693	1.649800857	33.83195645	39.7615285	23.04208728	12.09068622	1.055769237
32400	39.84564487	48.08063708	29.33895283	13.71236998	4.326022966	25.1892613	37.71436588	46.56938058	53.39136701	30.98294461	44.64749379	34.05164479	10.89972616	4.960000342	2.020170741	33.23322524	39.16478047	25.67868393	14.19063997	1.406193571
33300	39.57756117	49.44166498	33.13095064	15.86296965	5.281843291	24.2065833	33.15010478	44.88122154	50.65807708	37.71780414	44.39843263	37.03612746	11.92669598	5.169851237	2.458783648	32.80186947	39.56909727	28.27109229	16.53541743	1.820642889
34200	39.21874647	49.72691448	36.67232233	17.63225584	6.319187034	23.5784758	29.94616448	42.59347944	48.39381701	43.7465875	43.84187343	37.90398703	13.02019755	5.493680779	2.913771163	32.0046791	39.08504615	30.69400431	19.15925057	2.345058252
