Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
2700	0.64654876	5.851944743	4.602364537	3.913498835	5.813183268	4.793743431	6.497119892	4.251912583	4.247603933	5.27580518	4.608478436	2.0259464	2.300890229	-0.193722374	2.544842815	1.960541454	0.48860138	-1.485349476	-0.358599456	1.270647895
3600	0.179764344	2.452101937	1.389159709	2.116309887	2.8633482	2.908594878	2.78858678	0.752248314	2.185118749	1.646531072	3.013553862	0.22809981	-1.067794652	-3.061908683	-1.490033595	1.600293928	-0.638564916	-4.022597458	-2.505017479	-0.486042952
4500	1.311141541	1.943786313	0.937550202	2.220527818	2.306710027	3.436763338	2.435332128	0.552024601	2.109506535	1.159090952	4.295653608	0.697459477	-0.78434732	-2.571619838	-1.555504002	3.387410034	-0.054691224	-3.663610632	-2.093202675	-0.251408569
5400	2.891000469	1.75184506	0.663951284	2.219834136	1.924991872	3.811939016	2.239099005	0.320112458	1.887656049	0.744846445	5.470617074	1.32528447	-0.561159798	-2.30387549	-1.548750113	5.291736099	0.660748652	-3.33484336	-1.843538768	-0.152727934
6300	4.284858496	1.726373848	0.460000039	2.161899672	1.562344409	4.51172852	2.241283244	0.254985921	1.65710045	0.499676944	7.470960065	2.316175197	-0.339337242	-2.166122184	-1.54269149	6.499594105	1.762600292	-3.012794029	-1.653008856	-0.108306137
7200	4.426784933	1.979069153	0.319077118	1.983479961	1.343257188	5.531421396	2.471194345	0.133462521	1.470134948	0.261228045	8.185056235	3.776158685	-0.089816673	-2.084499181	-1.558423295	7.607463498	3.438809719	-2.710455544	-1.607228107	-0.074279746
8100	5.138289091	2.537657039	0.283309958	1.873395386	1.151476373	6.974819253	2.982516408	0.073326128	1.300902734	0.132940634	9.333287427	5.153836641	0.247125248	-1.983317186	-1.572152353	9.107809413	5.344950784	-2.291986158	-1.548211211	-0.02463525
9000	6.513042135	3.594290634	0.316121832	1.823881636	0.998845954	9.051988931	3.837734916	0.117241736	1.22063526	0.03899326	11.4158982	6.766829302	0.851296734	-1.920950625	-1.531290548	11.06500486	6.830907718	-1.762441145	-1.497957774	-7.06E-05
9900	8.151016375	5.212730363	0.467240092	1.697253568	0.878762194	10.33003361	4.791845429	0.147588964	1.137807475	-0.0185286	13.99238533	8.925941079	1.659854556	-1.759957945	-1.526407503	13.57977519	8.474261488	-1.005475698	-1.380994389	0.031895007
10800	10.16080988	6.303858732	0.743474716	1.68451643	0.823457945	11.12596784	6.006060908	0.271317324	1.117465668	-0.10562762	16.98721347	11.49088583	2.632058929	-1.556748332	-1.431939389	16.84201575	10.38248124	0.165077972	-1.230685477	0.054564011
11700	12.61769559	7.146500374	1.159408488	1.681585463	0.761045327	12.92849586	7.562833208	0.448222482	1.070624376	-0.08016773	20.52526184	13.79279744	3.901371761	-1.296502571	-1.342458213	20.94034762	12.59953188	1.837035467	-1.027125264	0.148164728
12600	15.73908331	8.174432523	1.812627706	1.714177726	0.686579322	15.31028367	9.563643816	0.77116592	1.051736328	-0.14222219	24.65020997	16.16089824	5.459466763	-0.818730708	-1.294137715	26.4814687	15.49542513	3.920555118	-0.73455823	0.174612858
