Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7																								
3073.694469	-2.089445949	-2.078928231	-2.943536734	0.205683405	-0.223221814	-5.246900239	0.553239035	-0.707475425	-3.116067883	-1.445696578	3.189897004	-4.018272671	-0.450873203	-6.712572666	-1.705011253	-2.383674448	-2.335128507	-2.652450802	1.634962944	-2.73806456	-1.824344996	-5.800422476	-6.028897403	-1.413027438																								
3973.694469	-1.707473364	-1.789413991	-1.895896173	-0.338796281	0.751293949	-3.720757131	0.392691326	-0.750492787	-1.953913135	-1.234897011	3.573990822	-3.277714142	-0.030964727	-5.702632347	-1.563734408	-2.178839957	-2.292383213	-2.609737053	1.302267979	-2.074984246	-1.548060358	-5.156482715	-4.707695341	-1.866661556																								
4873.694469	-1.382359174	-1.601178873	-1.247860238	-0.567886207	1.286826292	-2.673206852	0.49399657	-0.739688615	-1.210311029	-0.96817288	3.78040811	-2.745738768	0.291860308	-4.777269371	-1.434929642	-1.992507396	-2.139618929	-2.545256163	1.188191529	-1.564108238	-1.295623261	-4.57289509	-3.729340741	-2.056738086																								
5773.694469	-1.140648019	-1.485792372	-0.88856454	-0.641968389	1.618405372	-1.993210312	0.637431494	-0.714399757	-0.773894319	-0.693638713	3.853494119	-2.353502082	0.569229468	-3.911455262	-1.359470822	-1.849519915	-1.946484464	-2.486283955	1.24521572	-1.209530993	-1.105392862	-4.10281835	-3.074229727	-2.197187286																								
6673.694469	-0.934945674	-1.396681668	-0.671011792	-0.625582904	1.795791766	-1.505621082	0.80659865	-0.678521138	-0.508401196	-0.413128033	3.891909779	-2.071369381	1.105684961	-2.987327825	-1.297775957	-1.666267605	-1.783651167	-2.410765488	1.43070763	-0.896560456	-0.945167257	-3.653772293	-2.601130152	-2.278958033																								
7573.694469	-0.765425335	-1.292641999	-0.551077471	-0.576169729	1.94314147	-1.182137117	1.062878742	-0.616897201	-0.30443367	-0.173811054	3.880980012	-1.884696593	1.775697056	-1.886010293	-1.210031157	-1.530538341	-1.641411585	-2.351547102	1.736144045	-0.643587346	-0.857961126	-3.317388276	-2.231108993	-2.303212261																								
8473.694469	-0.568463163	-1.241546699	-0.452077104	-0.468816852	2.042475255	-0.953584287	1.435108369	-0.496572364	-0.154268688	0.150751489	3.883143955	-1.72714385	2.593653621	-0.569965595	-1.135958428	-1.330569539	-1.520572552	-2.333199209	2.217131376	-0.43778522	-0.810857089	-2.929142573	-1.944131674	-2.320142713																								
9373.694469	-0.327721947	-1.173413442	-0.343875166	-0.328382137	2.096302126	-0.745194442	2.034667339	-0.370534081	-0.014315702	0.521643287	3.88384164	-1.607287927	3.534660212	0.797172513	-1.04659755	-1.033936971	-1.427801486	-2.269190782	2.995979045	-0.193598205	-0.700743059	-2.5130733	-1.733316297	-2.338043795																								
10273.69447	-0.038689517	-1.084868106	-0.272456798	-0.096120896	2.175085872	-0.605271807	2.918756716	-0.213705335	0.10106062	1.088692124	3.886120127	-1.48476669	4.703265691	2.296199717	-0.936518381	-0.655311173	-1.336587609	-2.217653111	4.207002616	0.071693288	-0.648551093	-2.001229535	-1.521282834	-2.363709579																								
11173.69447	0.390585146	-1.023449163	-0.207101932	0.266374851	2.243966123	-0.4803409	3.803517189	-0.027425488	0.232561823	1.854293951	3.92233924	-1.38269445	6.115412794	3.883442103	-0.814777322	-0.012002375	-1.218734601	-2.18024088	5.436156683	0.384509012	-0.588130101	-1.314664015	-1.31845731	-2.364477113																								
12073.69447	1.003647505	-0.931034283	-0.129687567	0.87317874	2.336262996	-0.382909862	4.791123162	0.238633524	0.39639549	2.936653156	4.018327961	-1.30317192	7.314552119	5.648448764	-0.640632777	0.980209342	-1.090064561	-2.121864009	7.060714434	0.8422527	-0.449373859	-0.310391044	-1.129349721	-2.344618017																								
12973.69447	1.824483687	-0.795316973	-0.01141843	1.836150137	2.480258779	-0.261009578	6.049482637	0.595191582	0.564549948	4.05758367	4.152814136	-1.198149883	8.727949881	7.523324644	-0.418074239	2.115522305	-0.940959678	-2.080273251	9.103194854	1.448364114	-0.278481128	0.983123363	-0.859164495	-2.3006233																								
13873.69447	2.856100148	-0.61257594	0.137956357	3.277773018	2.733877312	-0.14418268	7.608169294	1.092547359	0.776445604	5.37506882	4.33658822	-1.103943146	10.66901236	9.99150523	-0.152129685	3.279182555	-0.723371003	-1.959947205	11.31232565	2.269864435	-0.109934626	2.298065378	-0.577970059	-2.238633314																								
14773.69447	4.056216789	-0.404422861	0.294381807	5.201426304	2.988259804	0.002987642	9.122179856	1.737288164	1.033366442	6.880745017	4.615884421	-0.971378838	13.12121719	13.27497546	0.203538014	4.725207166	-0.475296284	-1.914183606	13.97708078	3.176412443	0.125545006	3.884416846	-0.20936561	-2.167384479																								
15673.69447	4.783924616	-0.190924541	0.49441538	7.139213989	3.388182407	0.113654242	10.83421286	2.58774576	1.306501807	8.602337346	5.040809329	-0.842706753	16.66358105	17.78628436	0.667794286	6.453218105	-0.144206238	-1.82613275	16.79520251	4.295465026	0.457581908	5.747629273	0.225384533	-2.087341797																								
16573.69447	5.505527775	0.089810819	0.679176206	9.012398405	3.958556434	0.233201182	12.8526179	3.606723502	1.63647892	10.521466	5.6183451	-0.741561134	21.48057494	23.03795026	1.270068718	8.515852953	0.320309916	-1.705645371	20.10872716	5.456642837	0.806963309	7.547967546	0.870016335	-1.996812308																								
17473.69447	6.439278804	0.39210997	0.891666052	11.19264481	4.724057609	0.376852645	15.12914857	4.871592036	2.052054781	12.55599565	6.493012042	-0.603189306	27.49435244	28.2883939	2.026803023	10.81609489	0.899626696	-1.638278506	24.17800975	7.057560639	1.2152492	9.230704923	1.724978519	-1.873423317																								
18373.69447	7.505882975	0.765251581	1.107910335	13.89141651	5.79606278	0.553770973	17.62640311	6.268162417	2.531667723	14.90025105	7.535725595	-0.471667199	32.32353322	33.68637015	3.003355528	13.43377939	1.733385281	-1.492183738	28.58496315	8.821336277	1.820942427	11.62823917	2.83192594	-1.730103211																								
19273.69447	8.902479804	1.25938646	1.370357074	17.23879293	7.019946119	0.785476693	20.09077618	7.765057155	3.087709202	17.27036676	8.576704128	-0.32903932	36.66439083	38.72142461	4.337814998	16.22421314	2.870435747	-1.361938758	33.42179907	10.83443237	2.646108578	14.60486408	4.182567854	-1.513010861																								
20173.69447	11.12995749	1.898877573	1.686562698	21.33864346	8.587526477	1.045422357	22.72578499	9.284711069	3.858699542	19.72344035	9.721784325	-0.133911594	40.57917344	43.03591896	6.018343725	19.39495234	4.219426149	-1.190822324	37.66154375	13.09737536	3.827044586	17.96406388	5.578696963	-1.220889642																								
21073.69447	14.04668509	2.772962917	2.058392301	25.87740945	10.78596507	1.437748217	25.53631736	10.92217999	4.761353714	22.29803809	11.03068333	0.105911495	43.23112304	46.29444675	7.682500844	22.61590091	6.03811327	-0.97529418	41.26268836	15.70478114	5.351456281	21.17828738	7.091955399	-0.774129432																								
