Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	E7	D7	E2	E3	E4	E5	E6	D6
3046.640728	-1.391633557	-1.569506246	-2.017766606	-2.379976968	-1.311064521	-0.990239332	-1.369577269	-1.290680556	-0.6378128	-0.730962385	-0.388310673	-2.046954761	-2.225825992	-2.57951986	-2.254157647	-2.732841549	-2.04589436	-0.520771466	-0.79115249	-2.413346606	-3.419586573	-2.060821381	-1.79282232	-1.33640211
3946.640728	-0.874657115	-1.117066492	-1.148780595	-1.232109603	-0.995749172	-0.338877808	-0.899811223	-0.331567806	-0.332171564	-0.479495092	-0.315000578	-1.568953029	-1.485896567	-1.409696776	-1.69458181	-1.815112836	-1.372972221	-1.055240908	0.336394943	-1.391137365	-2.531600618	-1.191140035	-1.522322869	-1.53687122
4846.640728	-0.767520265	-0.906300374	-0.746971299	-0.991342445	-0.924310679	0.00636497	-0.627901372	-0.343447904	-0.116370151	-0.269089557	-0.350341498	-1.171511271	-1.239074071	-0.932448295	-1.446572133	-1.407426265	-1.37959301	-1.23060582	0.483200909	-0.855060837	-1.914896389	-0.813517667	-1.196483036	-1.72251561
5746.640728	-0.588788416	-0.79305318	-0.675483073	-0.935916928	-0.93743745	0.152733266	-0.450320078	-0.401505248	-0.071929748	-0.103246136	-0.329791229	-1.062729989	-1.072716771	-0.775166747	-1.307873034	-1.273557922	-1.343726176	-1.328225229	0.460962894	-0.668477026	-1.559777287	-0.665113368	-1.000506706	-1.855809002
6646.640728	-0.329516176	-0.73064239	-0.628955828	-0.765796114	-0.892060465	0.150127138	-0.294555231	-0.401462894	-0.095747668	0.136374266	-0.271795519	-1.004659269	-0.857954904	-0.708284587	-1.1761922	-1.201066156	-1.251169944	-1.379733702	0.557152293	-0.597985853	-1.31708208	-0.574619612	-0.870487453	-1.939995557
7546.640728	0.026344689	-0.683507843	-0.607033841	-0.454090872	-0.809179205	0.177109295	-0.153569748	-0.380192223	-0.08022987	0.540032452	-0.189631636	-1.01778349	-0.539330396	-0.629973384	-1.079724545	-1.108204175	-1.237862391	-1.360453472	0.791295608	-0.526394721	-1.09126381	-0.469683205	-0.838653016	-1.935259499
8446.640728	0.625385862	-0.612941205	-0.546183385	0.155840418	-0.749326398	0.197166968	0.054512766	-0.410086928	-0.058444195	1.205238337	-0.076327023	-0.954023902	-0.000922935	-0.571713081	-1.01017001	-0.995734123	-1.154123057	-1.300142197	1.137440424	-0.425697166	-0.988112356	-0.279459539	-0.744047057	-1.877175638
9346.640728	1.383079244	-0.531825854	-0.477734162	1.054639883	-0.63543587	0.229240135	0.337354852	-0.33777556	-0.01927212	2.352330419	0.111443794	-0.940326705	0.822022293	-0.433799475	-0.88571335	-0.84182724	-1.08277062	-1.256949626	1.759544918	-0.306744942	-0.836453372	0.019985986	-0.677118945	-1.870001726
10246.64073	2.373066744	-0.428120547	-0.381088216	2.298997191	-0.474848414	0.227314977	0.757712108	-0.270868682	0.082337257	4.153686811	0.376948869	-0.869623838	2.171320941	-0.238375686	-0.804793219	-0.514969868	-1.023401619	-1.223226722	2.688244096	-0.131744263	-0.712666621	0.475054546	-0.592670282	-1.809001425
11146.64073	3.603986913	-0.257738994	-0.261131634	3.940840404	-0.196835473	0.306949976	1.392177072	-0.160061887	0.171457329	5.222118055	0.744730435	-0.778234741	3.795206568	0.043014298	-0.662897329	-0.208614955	-0.902452046	-1.173268356	3.816339719	0.036960285	-0.527048326	1.150496301	-0.495534019	-1.720150568
12046.64073	5.061625736	-0.00538692	-0.119618719	5.549808597	0.141843	0.359643651	2.207501999	-0.010808324	0.306422897	6.439981573	1.242806724	-0.65636885	5.471271363	0.416886369	-0.540608949	0.129103141	-0.751061247	-1.130751102	4.973137748	0.322384926	-0.375930536	2.17927049	-0.322054985	-1.651419081
12946.64073	6.601638955	0.36324208	0.057069035	7.073849959	0.674965892	0.473450508	3.154506079	0.164677321	0.427448452	7.725721589	2.057013252	-0.429074748	7.360972637	1.006088486	-0.332585039	0.603047776	-0.649678681	-1.037844423	6.248344873	0.7510716	-0.143492216	3.52592821	-0.102441881	-1.530547437
13846.64073	8.429250876	0.841079716	0.28762522	8.868402757	1.417499197	0.653592558	4.241314439	0.470766478	0.581812956	9.553207054	3.37605558	-0.150990706	8.58849571	1.862789998	-0.067293113	1.230565739	-0.430350325	-0.967425754	7.606853569	1.276027855	0.097096419	4.710104243	0.213545531	-1.365074041
14746.64073	10.50434804	1.482901458	0.501030493	10.56503391	2.627453465	0.796720737	5.614428288	0.780932663	0.770847169	12.06792538	5.346540891	0.275074439	9.976294735	2.922615724	0.200142303	2.106763168	-0.192017369	-0.877876049	8.935768842	2.053015233	0.312168855	5.765487654	0.63273875	-1.199871213
15646.64073	13.29184253	2.375801264	0.838200513	12.96253908	4.371495255	1.032488296	6.926223032	1.187960843	1.067510618	16.10311847	7.342620287	0.827629811	11.81751498	4.207812828	0.593966342	3.3099402	0.05545742	-0.808883624	10.12096486	3.207260634	0.622563502	7.125893591	1.167686861	-1.05716447
16546.64073	17.27631509	3.517334019	1.247050595	16.09223472	6.622416381	1.358667474	8.276110301	1.749299088	1.441947033	21.88370942	9.624109627	1.681273174	14.10452477	5.672822241	1.175995485	4.842491238	0.409311692	-0.729380447	12.14370289	4.797216367	1.028644488	8.649181473	1.990568515	-0.871364063
17446.64073	22.47060373	4.763121539	1.889610246	19.95208538	7.994769765	1.733449868	9.78466305	2.462267701	1.892883949	27.77445635	11.66214328	2.769778195	16.81570711	7.264088158	1.941660912	5.887312864	0.713368374	-0.642804902	15.17957092	6.438428313	1.573934007	10.97935015	3.231061225	-0.611095726
18346.64073	27.2524581	6.388807819	2.652467392	24.82289045	9.532574418	2.288607856	11.41313058	3.334102301	2.396480965	34.38820295	14.16021362	4.131356475	19.94929754	8.588798639	3.102114743	7.288728578	1.151001159	-0.52904781	19.3285552	8.02173967	2.364914539	14.38898266	4.871647238	-0.224855999
