Time	E7	E6	E5	E4	E3	E2	D7	D6	D5	D4	D3	D2	C7	C6	C5	C4	C3	C2	B7	B6	B5	B4	B3	B2
2965.793911	9.800144264	-2.96924548	-2.488379378	0.907057387	-9.476164291	-1.877169418	10.68348011	-0.872807959	-6.247510164	-11.14164773	-4.382422867	-2.988412126	-2.162512114	3.919985149	-5.624462688	13.12604621	5.596246678	3.111020571	-0.528911112	3.765223152	-3.544050113	12.62642994	0.172435416	-0.12079571
3865.793911	7.852161291	-2.713805924	-2.310050492	0.708875216	-7.982456129	-1.396536082	8.589582213	-0.861705627	-6.690687378	-9.393494943	-3.663449842	-2.351898702	-1.647129064	3.389719865	-4.607411346	11.29499977	4.627467013	2.648754006	-0.131447969	3.531563416	-2.760040516	11.05998806	0.171721724	-0.179698672
4765.793911	6.175116282	-2.384893086	-2.025430712	0.776490001	-6.848483996	-0.8596168	6.935584998	-0.696097732	-6.659958284	-8.069470299	-2.993718797	-1.945431386	-1.185877959	3.083253098	-3.565650058	10.17113812	4.112100315	2.292274639	0.244260459	3.374878967	-2.088640119	10.08196369	0.271877375	-0.197796466
5665.793911	4.749040043	-2.107044301	-1.76019636	0.816178943	-6.038890268	-0.464517129	5.551242779	-0.571260507	-6.444113936	-7.096225986	-2.597515979	-1.58673523	-0.857504163	2.821935713	-2.835448121	9.30988672	3.731707247	2.16795158	0.492423221	3.237218934	-1.432123012	9.252250243	0.39218974	-0.109481177
6565.793911	3.886954053	-1.94810758	-1.543297135	0.820887439	-5.347251519	-0.144515558	4.623222198	-0.449957149	-6.180569772	-6.405958393	-2.36613527	-1.266852695	-0.687222428	2.583234339	-2.262471298	8.543894168	3.341432407	2.197601641	0.680480266	3.12252732	-0.848101106	8.60872957	0.315728783	0.175489385
7465.793911	3.29071208	-1.742565383	-1.359799207	0.818032271	-4.813028531	0.12486385	4.112208732	-0.374208748	-5.772005939	-5.805131299	-1.955940742	-0.885748888	-0.521227713	2.408260077	-1.750203093	7.936492733	3.363003748	2.390995627	0.790578707	3.059808461	0.00568403	8.038378163	0.634706407	0.759400713
8365.793911	2.909112975	-1.499896751	-1.113410511	0.80967818	-4.345787329	0.45810252	3.699910668	-0.237902851	-5.247467575	-5.374440084	-1.646039368	-0.343650119	-0.411477498	2.228200346	-1.22905209	7.447794571	3.03514655	2.879039619	0.88575952	3.03194764	1.126312038	7.643184103	0.619962646	1.702935556
9265.793911	2.588367044	-1.312657701	-0.774980072	0.853271458	-3.937550553	0.793457754	3.443637155	-0.059624413	-4.502082555	-4.967397362	-1.411476458	0.336933023	-0.265131297	2.191477777	-0.574956578	7.002496269	2.886600432	3.6810811	0.913316995	3.163007546	2.949409641	7.274840977	0.689944337	3.143022503
10165.79391	2.36588933	-1.181025117	-0.330015732	0.903840965	-3.575922606	1.31987844	3.207983572	0.085231519	-3.458611768	-4.536815879	-1.088129497	1.311063796	-0.193755821	2.143423586	0.427861888	6.745711932	2.860608345	4.646785907	1.062374812	3.331054017	5.002380259	7.010720078	0.882086884	5.127039199
11065.79391	2.156772478	-0.988010459	0.266554509	0.947349485	-3.25400536	1.955473804	3.025233557	0.354178634	-2.010571515	-4.164829866	-0.684690485	2.670263295	-0.120046617	2.231740691	1.819416414	6.54622962	2.839941638	5.522590804	1.120993743	3.635251632	6.871571715	6.831188194	1.207298134	6.637703764
11965.79391	2.061449592	-0.803132748	1.105953262	0.971334731	-2.89182719	2.899210151	2.930092287	0.630349917	-0.53698172	-3.782822895	-0.141445633	4.242956175	-0.045233878	2.348005183	3.428874075	6.370612293	3.013142678	6.555679682	1.222078196	4.069561718	7.435221556	6.662330041	1.617972879	7.909789161
12865.79391	1.927823886	-0.562390164	2.326757021	1.055796318	-2.506704763	4.260250224	2.803590105	1.050996342	0.988755179	-3.43185202	0.50413055	5.981065826	0.018474238	2.553585637	5.412522786	6.240926404	3.265245107	7.801177506	1.371008694	4.911318505	9.070158134	6.524242267	2.361324	9.624615563
13765.79391	1.850684763	-0.338751278	3.565569666	1.160541556	-2.072011823	5.839053261	2.790947383	1.648741728	2.306693337	-3.065302579	1.290594975	7.469602037	0.142104539	2.886443622	7.696233683	6.174724474	3.724865571	8.946683023	1.590398749	6.115141954	11.42025964	6.491953874	3.276600591	12.06138099
