Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7
2965.533016	1.252044332	-2.579122516	5.275914606	-8.119631454	-4.281378821	-11.31489658	-0.882910134	-5.29526323	6.260434176	-1.178299172	-0.679020783	1.452446128	-2.862491554	-0.556265639	-4.794977769	-2.956695224	3.219346004	-3.905466233	-2.932794342	1.46750149	-1.201076255	-4.376130434	5.007782655	-5.049422086
3865.533016	1.899982901	-2.069989147	4.861699601	-6.511370369	-3.662858929	-9.101327597	-0.455518626	-4.731213316	5.897227112	-0.626319575	-0.749372291	1.224888318	-1.652317438	-0.601161063	-4.172502402	-2.509786651	2.881401911	-3.162094685	-1.859771294	1.75550953	-0.656241745	-3.645055512	4.501358041	-4.350255227
4765.533016	1.773356278	-1.804466152	4.005546893	-5.202321198	-3.181835359	-7.513319707	0.014182883	-4.206673504	5.160693756	-0.036619687	-0.626900979	1.171697915	-0.889664616	-0.360112553	-3.480190685	-1.900681469	2.478225611	-2.448829723	-1.159981866	1.106710182	-0.144002119	-2.947600036	3.570203125	-3.792319006
5665.533016	1.813183182	-1.649721615	3.346921205	-4.051828246	-2.826380221	-6.368524432	0.452961949	-3.77214097	4.598982946	0.556851836	-0.567470328	1.119763186	-0.261265025	-0.166224702	-2.960938623	-1.363244836	2.202519945	-1.989317126	-0.521721764	0.647091518	0.184435979	-2.317333236	2.966901071	-3.356901241
6565.533016	1.904997127	-1.468202824	2.911459337	-2.947095316	-2.527515821	-5.659636434	1.072701477	-3.401824086	4.152592248	1.30122773	-0.43977292	1.007108608	0.430667899	-0.002415232	-2.554199873	-0.710693967	1.989135961	-1.584960405	0.187467132	0.511513555	0.433082403	-1.731397056	2.572094703	-3.061741191
7465.533016	2.301027277	-1.386233331	2.609121221	-1.725053053	-2.222330095	-5.065417934	1.916605272	-3.069152636	3.811352942	2.274541332	-0.27046648	0.983950485	1.425318869	0.216061628	-2.245047106	0.196708988	1.916242708	-1.333600916	1.187366426	0.508102857	0.598272447	-1.100013927	2.310670748	-2.829968677
8365.533016	3.066071222	-1.179361833	2.376902476	-0.271189047	-1.889180339	-4.555186332	3.24583847	-2.676060828	3.592511824	3.774120776	-0.017891245	0.98234798	2.871638192	0.431946756	-1.895560906	1.56480774	1.973105335	-1.015990726	2.596167381	0.668348958	0.762777996	-0.337570636	2.111441922	-2.633082287
9265.533016	4.439389188	-0.831941751	2.248094086	1.862982032	-1.618649513	-4.130654588	5.03143897	-2.171142332	3.458880313	6.107411136	0.372829176	0.97268344	5.206113445	0.836630328	-1.533332178	3.729545143	2.261275552	-0.828106429	4.946229133	0.972632446	0.918004777	0.607484531	2.066992562	-2.449994137
10165.53302	6.666991045	-0.30532551	2.261746092	4.622208162	-1.131915796	-3.702234485	6.729670166	-1.675671121	3.492095204	9.767745711	1.070581745	1.035561137	7.931162106	1.352514253	-1.118006996	6.958818954	2.749067834	-0.624385412	7.316259317	1.453046284	1.116496991	1.965672009	2.106396587	-2.319383841
11065.53302	9.43069991	0.455594461	2.254836559	6.287520691	-0.603892174	-3.413038468	8.405897626	-1.092259096	3.447166298	10.386471	1.781049308	1.103826156	8.650686489	1.91705439	-0.822889425	7.981389414	3.311622905	-0.442823129	8.352180155	2.037983442	1.324218791	3.823259654	2.199881418	-2.176566791
11965.53302	11.68610322	1.432737168	2.275952986	6.85628952	0.114545732	-3.054116028	9.931075118	-0.291538161	3.458852863	11.39595615	2.927502657	1.213674432	10.63663185	2.808353163	-0.487709856	9.341904622	4.333478363	-0.165708595	11.29922267	3.004323742	1.606460381	6.317593243	2.428683663	-1.995525611
12865.53302	13.73365773	2.937301107	2.447906669	9.850145738	1.238133771	-2.693200936	11.2624668	0.888777691	3.648271493	14.37340845	4.745147693	1.485189758	13.71470728	4.23170605	0.047668037	12.23357773	6.15045695	0.143505562	14.4381912	4.581803747	1.96264611	8.243161111	2.806622401	-1.820566447
13765.53302	17.32387706	5.348140101	2.845439392	13.35898135	3.01679807	-2.245051251	14.0271388	2.639478125	4.08776256	19.42968668	7.695998184	1.913096427	17.78168913	6.44155775	0.741790204	16.95943708	8.979320696	0.647571192	18.32658186	7.046120997	2.415098252	9.496573396	3.416222919	-1.633228161
14665.53302	20.83673634	8.85413786	3.465789942	17.94996353	5.103020093	-1.636421289	15.74669249	4.779964756	4.73258479	24.65542585	10.89188925	2.547783953	22.78981341	8.949198705	1.749003371	22.79076268	10.89815441	1.263468804	22.93529472	9.713359087	3.08908771	10.94282632	4.266892129	-1.381112425
15565.53302	24.82352178	10.85420099	4.344576055	22.8765068	7.191563528	-0.798609573	17.94364433	6.696904025	5.665115757	31.19688231	12.44418405	3.341473062	27.03123562	10.52872492	2.951575229	29.36815013	12.44719158	2.167072648	28.46460997	11.80882795	4.073873377	13.33518874	5.564088878	-1.038094586
16465.53302	29.97392964	13.02469091	5.644080128	28.94372399	8.586234443	0.329760021	20.5225826	8.831488224	6.943586083	38.52934022	16.61617949	4.692749653	32.73524553	12.73613403	4.703540254	37.55763776	15.06839724	3.516786385	34.71352913	14.66922405	5.559800536	16.19708564	7.412412401	-0.57862771
17365.53302	36.57424113	16.87214084	7.742377796	35.38405359	11.14495456	2.090906376	23.11142876	10.37147606	8.775768665	46.52245003	21.21563133	6.907099448	39.53707286	15.70608503	7.197862293	45.23663652	20.06929435	5.807522493	41.741012	18.6080323	7.64098147	18.83277432	9.456113019	0.128209963
18265.53302	42.47778774	21.36346628	10.5725174	40.35368791	14.33618538	4.791492381	25.44503173	12.20569652	11.27485659	53.58546075	26.64051775	9.795155518	45.02423094	19.17997976	10.69377714	51.58182088	25.23533586	9.202600616	47.0560844	22.99842315	9.848400804	21.06299142	11.03649193	1.014827724
19165.53302	46.86411149	26.305838	12.47540472	44.50537497	18.2302993	8.500683084	27.96963464	14.27366103	13.37600289	59.07326792	33.45274546	12.00182917	50.50753344	23.62056233	14.1655126	55.63712781	31.23875702	12.12882867	51.08451751	28.58495318	11.79218451	23.5292432	12.88095476	1.963585633
20065.53302	51.06263704	31.89581241	13.76764221	47.62263131	21.75910868	10.25812461	30.93519541	16.16825795	14.47218914	63.44509213	41.21414269	14.35284103	54.32937991	28.48442073	15.51497035	59.01707984	37.9815907	15.72302228	54.80297413	35.06896618	14.54129321	26.04626645	14.88342231	3.060759442
20965.53302	54.89743209	37.81506753	16.37643032	50.3828597	26.13501929	12.77896619	33.40439883	18.09339853	15.6028319	65.8577547	48.91783869	18.45978623	57.72107718	33.50839913	18.43518838	60.54665247	45.80637976	19.45940042	56.97951207	42.26032938	17.99858163	28.54992534	16.62361151	4.337527602
21865.53302	58.23113744	44.45187236	19.93077321	52.64569019	30.53343697	16.94570717	36.24475923	19.84592249	17.00186484	65.5279647	55.19233095	22.90367043	59.62040888	39.41699837	22.69635372	59.31894543	52.68292227	24.67664226	57.51461182	49.15530685	22.14874535	31.14006403	18.06390664	5.78977609
