Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	CS
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	CS
1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	CS
1800	0.125265184	-0.018213812	-0.068264896	-0.040310588	0.013260898	0.013261955	-0.020064593	-0.017902589	0.01189203	-0.008311448	0.021108256	-0.049753809	0.008164923	-0.005830194	0.005056949	0.064445876	-0.005940896	0.013306447	0.0045394	0.080446177	A	CS
2400	3.03596347	-0.174187289	-0.846012369	-0.061042131	0.086205645	0.745887528	-0.044315816	-0.169325154	-0.142216067	0.181894102	0.957477787	-0.571666571	-0.187140778	-0.245864259	0.048705841	2.061867123	-0.071507204	0.086469542	0.067395373	0.544418185	A	CS
3000	6.261837458	-0.182510437	-1.460825062	-0.08508455	0.140658817	1.665039364	-0.093452737	-0.289210809	-0.217424702	0.145756437	2.005481405	-0.851516982	-0.30323488	-0.343026757	0.087118572	4.076333816	-0.010832743	0.228825318	0.076413433	1.017392136	A	CS
3600	8.284872142	-0.086233704	-1.830898722	-0.066995727	0.191724992	2.717638467	-0.096238452	-0.363714528	-0.243947807	0.112208473	3.538490495	-0.840146665	-0.462449637	-0.462266695	0.158213868	5.796407089	0.169467391	0.282670442	0.116514941	1.354956813	A	CS
4200	9.654934892	0.119107963	-2.229135772	-0.114966203	0.287626884	3.646195246	-0.004762411	-0.41775898	-0.19530682	0.079642627	4.51420212	-0.688136502	-0.477134115	-0.552372595	0.135001947	7.780265376	0.495596418	0.35007756	0.114693553	1.601491428	A	CS
4800	11.393917	0.600278954	-2.456674871	-0.066382313	0.358507856	4.080769319	0.189681273	-0.430397702	-0.183187725	0.043210934	5.102159755	-0.29321257	-0.508743968	-0.62446982	0.18895221	9.28902687	0.983440316	0.471855247	0.111330639	1.849366337	A	CS
5400	13.92585552	1.25935857	-2.702285632	-0.101152376	0.342761612	4.795114761	0.384413972	-0.498315167	-0.118149742	0.077005288	5.92525417	0.330749918	-0.526038152	-0.667193709	0.221391598	10.16926555	1.722510147	0.599961695	0.16901483	1.993585612	A	CS
6000	17.2813102	2.198325885	-2.752507799	-0.046920466	0.359647857	5.239704706	0.683646203	-0.456884771	-0.12740638	0.010414741	7.167173172	1.313061144	-0.460236242	-0.659607405	0.235121043	11.68145914	2.666499636	0.762859396	0.187108063	2.142353358	A	CS
6600	21.23583839	3.475416733	-2.776818338	-0.058917498	0.330321598	5.646241822	1.14541221	-0.431529732	-0.082693302	0.022461808	8.720874902	2.695555279	-0.357940412	-0.728096239	0.305769543	13.75272748	3.964896418	1.001250213	0.165897357	2.259251869	A	CS
7200	25.84679632	5.343039917	-2.684968459	0.011189502	0.41967927	6.355299737	1.746945183	-0.347214924	-0.023184823	-0.009191352	10.52268107	4.191677198	-0.164514225	-0.693932864	0.347329302	16.31314429	5.308513173	1.338464835	0.196122018	2.343110951	A	CS
7800	31.67502964	7.479113973	-2.497883733	0.034363686	0.457080777	7.205210751	2.50058385	-0.270920745	0.034357451	0.027502329	12.58710418	5.560131371	0.100300476	-0.66748223	0.434812087	19.08895104	6.719690958	1.737318046	0.244249997	2.415959758	A	CS
8400	38.31452915	9.5056992	-2.207701335	0.095518303	0.511158238	8.162422281	3.452108521	-0.077714524	0.05867348	-0.061783484	14.87430045	6.887573687	0.432259719	-0.63037304	0.524243754	21.84398148	7.135680158	2.181195244	0.250066638	2.516731753	A	CS
9000	45.8651219	12.00787852	-1.732996629	0.197663283	0.581128753	9.3260147	4.634241792	0.065689675	0.151687379	-0.028214369	17.255016	7.243850901	0.882690253	-0.570774961	0.602595288	24.94588311	7.336271295	2.758927384	0.349450087	2.539281898	A	CS
9600	51.94544486	14.01415713	-1.128224084	0.378184158	0.648655595	10.56021101	6.05195089	0.334402993	0.225176972	-0.071350183	19.58074844	7.784787321	1.453861008	-0.506574744	0.724191727	28.06421636	8.019652868	3.562596122	0.477086662	2.663375428	A	CS
10200	58.88991913	15.78791289	-0.226171026	0.487515677	0.668104617	12.04748765	7.124932717	0.542356454	0.236564139	-0.061240275	22.67315944	8.929813063	2.394842151	-0.328088199	0.838595552	31.23991463	9.209242669	4.593082325	0.656095484	2.748726009	A	CS
10800	65.26346946	18.64149496	1.018901197	0.688607127	0.726629161	13.34658885	8.061015939	0.866325016	0.347962762	-0.125458032	26.21114097	10.24905139	3.554642209	-0.165868941	0.949840306	34.33614695	10.58933398	5.79652301	0.869921283	2.819157936	A	CS
11400	71.09736939	22.20888819	2.431102871	0.9835335	0.790229516	14.91080525	8.185748768	1.249845785	0.420326442	-0.160131329	29.65557663	11.83005759	5.064840954	0.163815665	1.079328482	36.98090362	12.2858535	7.10389573	1.183278697	2.943760529	A	CS
12000	76.66451788	26.36797728	3.99593749	1.333848269	0.881987035	16.78302067	8.795827376	1.745259078	0.523783135	-0.135995873	33.22241142	13.70251139	6.777865239	0.43598171	1.202991631	39.37099222	14.13396873	8.415196236	1.576987123	3.026045938	A	CS
