Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
0	0.108	0.11	0.108	0.109	0.107	0.107	0.104	0.103	0.104	0.106	0.106	0.109	0.109	0.109	0.107	0.107	0.107	0.106	0.107	0.111	A	OD
600	0.108	0.11	0.108	0.109	0.107	0.106	0.103	0.103	0.104	0.106	0.106	0.109	0.108	0.108	0.107	0.107	0.106	0.106	0.107	0.111	A	OD
1200	0.109	0.11	0.108	0.109	0.106	0.107	0.103	0.103	0.103	0.106	0.106	0.108	0.108	0.108	0.107	0.107	0.106	0.106	0.107	0.111	A	OD
1800	0.109	0.11	0.108	0.109	0.106	0.107	0.103	0.103	0.103	0.106	0.107	0.108	0.108	0.108	0.107	0.107	0.106	0.106	0.108	0.111	A	OD
2400	0.11	0.11	0.107	0.109	0.106	0.107	0.103	0.104	0.103	0.105	0.107	0.108	0.108	0.108	0.107	0.107	0.106	0.106	0.108	0.111	A	OD
3000	0.111	0.11	0.108	0.109	0.106	0.107	0.103	0.104	0.103	0.105	0.108	0.108	0.108	0.108	0.107	0.108	0.106	0.106	0.108	0.111	A	OD
3600	0.112	0.11	0.107	0.109	0.106	0.108	0.103	0.104	0.103	0.105	0.109	0.109	0.108	0.108	0.107	0.109	0.106	0.106	0.108	0.111	A	OD
4200	0.114	0.11	0.108	0.109	0.106	0.109	0.103	0.104	0.103	0.105	0.11	0.109	0.108	0.108	0.107	0.11	0.106	0.106	0.108	0.11	A	OD
4800	0.117	0.11	0.108	0.109	0.106	0.109	0.103	0.104	0.103	0.105	0.112	0.109	0.108	0.108	0.107	0.112	0.106	0.106	0.108	0.11	A	OD
5400	0.12	0.111	0.108	0.109	0.107	0.111	0.103	0.104	0.103	0.105	0.115	0.109	0.108	0.108	0.107	0.114	0.106	0.106	0.108	0.11	A	OD
6000	0.124	0.111	0.108	0.109	0.106	0.112	0.104	0.104	0.103	0.105	0.118	0.109	0.108	0.108	0.107	0.117	0.107	0.106	0.108	0.11	A	OD
6600	0.13	0.111	0.108	0.109	0.106	0.114	0.104	0.104	0.103	0.105	0.123	0.109	0.108	0.108	0.107	0.121	0.107	0.106	0.108	0.11	A	OD
7200	0.138	0.112	0.108	0.109	0.106	0.116	0.104	0.104	0.103	0.105	0.129	0.11	0.108	0.108	0.107	0.127	0.108	0.106	0.108	0.11	A	OD
7800	0.149	0.112	0.108	0.109	0.106	0.119	0.104	0.104	0.103	0.105	0.139	0.111	0.108	0.108	0.106	0.134	0.108	0.106	0.108	0.11	A	OD
8400	0.162	0.114	0.108	0.109	0.106	0.122	0.105	0.104	0.103	0.105	0.149	0.112	0.108	0.108	0.106	0.144	0.109	0.106	0.107	0.11	A	OD
9000	0.175	0.115	0.108	0.109	0.106	0.126	0.105	0.104	0.103	0.106	0.165	0.113	0.108	0.108	0.106	0.158	0.11	0.107	0.108	0.11	A	OD
9600	0.193	0.117	0.108	0.109	0.106	0.137	0.105	0.104	0.103	0.106	0.181	0.115	0.108	0.108	0.106	0.172	0.112	0.107	0.108	0.11	A	OD
10200	0.211	0.12	0.108	0.109	0.106	0.143	0.106	0.104	0.103	0.105	0.196	0.117	0.108	0.108	0.106	0.185	0.115	0.107	0.108	0.11	A	OD
10800	0.228	0.124	0.109	0.109	0.106	0.154	0.107	0.104	0.103	0.105	0.215	0.121	0.109	0.108	0.106	0.2	0.119	0.107	0.108	0.11	A	OD
11400	0.247	0.129	0.109	0.109	0.106	0.168	0.108	0.104	0.103	0.105	0.234	0.126	0.109	0.108	0.106	0.215	0.124	0.108	0.108	0.11	A	OD
12000	0.27	0.136	0.11	0.109	0.106	0.181	0.11	0.104	0.103	0.105	0.256	0.133	0.11	0.108	0.106	0.233	0.131	0.109	0.108	0.11	A	OD
12600	0.296	0.144	0.11	0.109	0.106	0.193	0.112	0.105	0.103	0.105	0.28	0.144	0.111	0.108	0.106	0.255	0.14	0.11	0.108	0.11	A	OD
13200	0.322	0.156	0.112	0.109	0.106	0.209	0.115	0.105	0.103	0.105	0.308	0.155	0.112	0.108	0.106	0.277	0.15	0.112	0.108	0.11	A	OD
13800	0.35	0.169	0.113	0.109	0.106	0.225	0.118	0.105	0.103	0.105	0.333	0.169	0.113	0.108	0.106	0.304	0.161	0.114	0.108	0.11	A	OD
14400	0.379	0.183	0.116	0.11	0.106	0.239	0.123	0.105	0.103	0.105	0.369	0.183	0.116	0.108	0.106	0.328	0.173	0.117	0.108	0.11	A	OD
15000	0.412	0.198	0.119	0.11	0.106	0.255	0.13	0.106	0.103	0.105	0.398	0.199	0.119	0.109	0.106	0.356	0.187	0.121	0.109	0.11	A	OD
15600	0.449	0.216	0.123	0.11	0.106	0.274	0.137	0.107	0.103	0.105	0.437	0.216	0.123	0.109	0.106	0.375	0.199	0.126	0.109	0.11	A	OD
16200	0.481	0.236	0.129	0.111	0.106	0.293	0.145	0.107	0.103	0.105	0.474	0.237	0.13	0.11	0.106	0.402	0.215	0.133	0.11	0.11	A	OD
16800	0.506	0.258	0.136	0.112	0.106	0.312	0.154	0.108	0.103	0.105	0.507	0.258	0.138	0.11	0.106	0.426	0.228	0.141	0.111	0.111	A	OD
17400	0.536	0.284	0.145	0.113	0.106	0.333	0.166	0.11	0.104	0.105	0.54	0.281	0.148	0.112	0.106	0.455	0.244	0.15	0.113	0.111	A	OD
18000	0.56	0.309	0.155	0.115	0.106	0.349	0.178	0.112	0.104	0.105	0.569	0.306	0.159	0.113	0.106	0.476	0.264	0.161	0.115	0.111	A	OD
18600	0.577	0.339	0.171	0.117	0.107	0.373	0.192	0.114	0.104	0.105	0.605	0.334	0.173	0.115	0.106	0.503	0.279	0.172	0.117	0.111	A	OD
19200	0.599	0.37	0.186	0.12	0.107	0.401	0.206	0.117	0.104	0.105	0.633	0.363	0.188	0.118	0.106	0.527	0.301	0.184	0.12	0.112	A	OD
19800	0.611	0.399	0.204	0.124	0.108	0.419	0.222	0.121	0.105	0.105	0.663	0.397	0.206	0.122	0.107	0.549	0.313	0.198	0.124	0.112	A	OD
20400	0.628	0.435	0.222	0.13	0.108	0.442	0.237	0.125	0.105	0.105	0.688	0.427	0.223	0.128	0.107	0.571	0.344	0.21	0.129	0.113	A	OD
21000	0.637	0.454	0.244	0.136	0.109	0.456	0.254	0.13	0.106	0.105	0.705	0.464	0.239	0.135	0.107	0.613	0.361	0.223	0.135	0.115	A	OD
21600	0.657	0.474	0.266	0.145	0.11	0.472	0.274	0.137	0.107	0.105	0.731	0.492	0.265	0.144	0.108	0.647	0.382	0.237	0.142	0.116	A	OD
