,Time,rep,exp,variable,value,value_J,csum,strain,inoc
1,0,A,Heat flow,A1,0,0,0,SAC042W,6
2,0.166666667,A,Heat flow,A1,0,0,0,SAC042W,6
3,0.333333333,A,Heat flow,A1,0,0,0,SAC042W,6
4,0.5,A,Heat flow,A1,0.125265184,5.80E-06,5.80E-06,SAC042W,6
5,0.666666667,A,Heat flow,A1,3.03596347,0.000140554,0.000146353,SAC042W,6
6,0.833333333,A,Heat flow,A1,6.261837458,0.0002899,0.000436253,SAC042W,6
7,1,A,Heat flow,A1,8.284872142,0.000383559,0.000819812,SAC042W,6
8,1.166666667,A,Heat flow,A1,9.654934892,0.000446988,0.0012668,SAC042W,6
9,1.333333333,A,Heat flow,A1,11.393917,0.000527496,0.001794296,SAC042W,6
10,1.5,A,Heat flow,A1,13.92585552,0.000644716,0.002439011,SAC042W,6
11,1.666666667,A,Heat flow,A1,17.2813102,0.000800061,0.003239072,SAC042W,6
12,1.833333333,A,Heat flow,A1,21.23583839,0.000983141,0.004222213,SAC042W,6
13,2,A,Heat flow,A1,25.84679632,0.001196611,0.005418824,SAC042W,6
14,2.166666667,A,Heat flow,A1,31.67502964,0.001466437,0.00688526,SAC042W,6
15,2.333333333,A,Heat flow,A1,38.31452915,0.001773821,0.008659081,SAC042W,6
16,2.5,A,Heat flow,A1,45.8651219,0.002123385,0.010782466,SAC042W,6
17,2.666666667,A,Heat flow,A1,51.94544486,0.002404882,0.013187348,SAC042W,6
18,2.833333333,A,Heat flow,A1,58.88991913,0.002726385,0.015913733,SAC042W,6
19,3,A,Heat flow,A1,65.26346946,0.003021457,0.01893519,SAC042W,6
20,3.166666667,A,Heat flow,A1,71.09736939,0.003291545,0.022226735,SAC042W,6
21,3.333333333,A,Heat flow,A1,76.66451788,0.003549283,0.025776018,SAC042W,6
22,3.5,A,Heat flow,A1,81.30817626,0.003764267,0.029540286,SAC042W,6
23,3.666666667,A,Heat flow,A1,86.25965916,0.003993503,0.033533788,SAC042W,6
24,3.833333333,A,Heat flow,A1,88.45019545,0.004094916,0.037628705,SAC042W,6
25,4,A,Heat flow,A1,90.5005504,0.00418984,0.041818545,SAC042W,6
26,4.166666667,A,Heat flow,A1,90.99395816,0.004212683,0.046031228,SAC042W,6
27,4.333333333,A,Heat flow,A1,91.99013363,0.004258802,0.050290031,SAC042W,6
28,4.5,A,Heat flow,A1,92.47566588,0.004281281,0.054571312,SAC042W,6
29,4.666666667,A,Heat flow,A1,91.18664671,0.004221604,0.058792916,SAC042W,6
30,4.833333333,A,Heat flow,A1,89.74042041,0.004154649,0.062947565,SAC042W,6
31,5,A,Heat flow,A1,87.27219232,0.004040379,0.066987944,SAC042W,6
32,5.166666667,A,Heat flow,A1,85.34313251,0.003951071,0.070939015,SAC042W,6
33,5.333333333,A,Heat flow,A1,82.26386606,0.003808512,0.074747527,SAC042W,6
34,5.5,A,Heat flow,A1,79.90465887,0.00369929,0.078446817,SAC042W,6
35,5.666666667,A,Heat flow,A1,78.11896641,0.003616619,0.082063436,SAC042W,6
36,5.833333333,A,Heat flow,A1,75.4485257,0.003492987,0.085556423,SAC042W,6
37,6,A,Heat flow,A1,72.54560761,0.003358593,0.088915016,SAC042W,6
38,6.166666667,A,Heat flow,A1,69.5174631,0.003218401,0.092133417,SAC042W,6
39,6.333333333,A,Heat flow,A1,65.95622733,0.003053529,0.095186946,SAC042W,6
40,6.5,A,Heat flow,A1,62.06975806,0.0028736,0.098060546,SAC042W,6
41,6.666666667,A,Heat flow,A1,58.10809616,0.00269019,0.100750736,SAC042W,6
42,6.833333333,A,Heat flow,A1,54.44925386,0.002520799,0.103271535,SAC042W,6
43,7,A,Heat flow,A1,51.5609878,0.002387083,0.105658617,SAC042W,6
44,7.166666667,A,Heat flow,A1,49.21530674,0.002278486,0.107937104,SAC042W,6
45,7.333333333,A,Heat flow,A1,47.37890988,0.002193468,0.110130572,SAC042W,6
46,7.5,A,Heat flow,A1,46.16478162,0.002137258,0.11226783,SAC042W,6
47,7.666666667,A,Heat flow,A1,45.09477687,0.002087721,0.114355551,SAC042W,6
48,7.833333333,A,Heat flow,A1,43.83832753,0.002029552,0.116385104,SAC042W,6
49,8,A,Heat flow,A1,42.20616584,0.001953989,0.118339093,SAC042W,6
50,8.166666667,A,Heat flow,A1,40.25996131,0.001863887,0.12020298,SAC042W,6
51,8.333333333,A,Heat flow,A1,38.45152471,0.001780163,0.121983143,SAC042W,6
52,8.5,A,Heat flow,A1,36.83612391,0.001705376,0.123688519,SAC042W,6
53,8.666666667,A,Heat flow,A1,35.28298034,0.001633471,0.12532199,SAC042W,6
54,8.833333333,A,Heat flow,A1,33.74795146,0.001562405,0.126884396,SAC042W,6
55,9,A,Heat flow,A1,32.4021342,0.001500099,0.128384494,SAC042W,6
56,9.166666667,A,Heat flow,A1,31.36679003,0.001452166,0.129836661,SAC042W,6
57,9.333333333,A,Heat flow,A1,30.57269997,0.001415403,0.131252063,SAC042W,6
58,9.5,A,Heat flow,A1,29.91247219,0.001384837,0.1326369,SAC042W,6
59,9.666666667,A,Heat flow,A1,29.33442733,0.001358075,0.133994975,SAC042W,6
60,9.833333333,A,Heat flow,A1,28.77796105,0.001332313,0.135327288,SAC042W,6
61,10,A,Heat flow,A1,28.23474149,0.001307164,0.136634452,SAC042W,6
62,10.16666667,A,Heat flow,A1,27.72148051,0.001283402,0.137917854,SAC042W,6
63,10.33333333,A,Heat flow,A1,27.26296176,0.001262174,0.139180028,SAC042W,6
64,10.5,A,Heat flow,A1,26.88870684,0.001244848,0.140424876,SAC042W,6
65,10.66666667,A,Heat flow,A1,26.49340189,0.001226546,0.141651422,SAC042W,6
66,10.83333333,A,Heat flow,A1,26.14333917,0.00121034,0.142861762,SAC042W,6
67,11,A,Heat flow,A1,25.94048942,0.001200949,0.144062711,SAC042W,6
68,11.16666667,A,Heat flow,A1,25.63343626,0.001186733,0.145249444,SAC042W,6
69,11.33333333,A,Heat flow,A1,25.37949443,0.001174977,0.14642442,SAC042W,6
70,11.5,A,Heat flow,A1,25.17778823,0.001165638,0.147590059,SAC042W,6
71,11.66666667,A,Heat flow,A1,24.99998597,0.001157407,0.148747465,SAC042W,6
