"","Time","rep","exp","variable","value","value_J","csum","strain","inoc","drytime"
"1",0.75,30,"a","B2",2.139435602,0.000148571916805556,0.000148571916805556,"RWW146",6,0
"2",1,30,"a","B2",0.743927751,5.1661649375e-05,0.000200233566180556,"RWW146",6,0
"3",1.25,30,"a","B2",1.450374602,0.000100720458472222,0.000300954024652778,"RWW146",6,0
"4",1.5,30,"a","B2",2.306547464,0.000160176907222222,0.000461130931875,"RWW146",6,0
"5",1.75,30,"a","B2",3.39587097,0.000235824372916667,0.000696955304791667,"RWW146",6,0
"6",2,30,"a","B2",4.697359888,0.000326205547777778,0.00102316085256944,"RWW146",6,0
"7",2.25,30,"a","B2",6.364241675,0.000441961227430556,0.00146512208,"RWW146",6,0
"8",2.5,30,"a","B2",7.52781517,0.000522764942361111,0.00198788702236111,"RWW146",6,0
"9",2.75,30,"a","B2",7.725772698,0.000536511992916667,0.00252439901527778,"RWW146",6,0
"10",3,30,"a","B2",8.725931929,0.000605967495069444,0.00313036651034722,"RWW146",6,0
"11",3.25,30,"a","B2",10.05173619,0.000698037235416667,0.00382840374576389,"RWW146",6,0
"12",3.5,30,"a","B2",12.21102303,0.000847987710416667,0.00467639145618056,"RWW146",6,0
"13",3.75,30,"a","B2",15.23085536,0.00105769828888889,0.00573408974506944,"RWW146",6,0
"14",4,30,"a","B2",17.66142551,0.00122648788263889,0.00696057762770833,"RWW146",6,0
"15",4.25,30,"a","B2",20.79553701,0.00144413451458333,0.00840471214229167,"RWW146",6,0
"16",4.5,30,"a","B2",24.30526497,0.00168786562291667,0.0100925777652083,"RWW146",6,0
"17",4.75,30,"a","B2",27.92348447,0.00193913086597222,0.0120317086311806,"RWW146",6,0
"18",5,30,"a","B2",31.45765437,0.00218455933125,0.0142162679624306,"RWW146",6,0
"19",5.25,30,"a","B2",34.45347066,0.00239260212916667,0.0166088700915972,"RWW146",6,0
"20",5.5,30,"a","B2",36.75154889,0.00255219089513889,0.0191610609867361,"RWW146",6,0
"21",5.75,30,"a","B2",38.43915953,0.00266938607847222,0.0218304470652083,"RWW146",6,0
"22",6,30,"a","B2",39.82634631,0.00276571849375,0.0245961655589583,"RWW146",6,0
"23",6.25,30,"a","B2",41.01558163,0.00284830427986111,0.0274444698388194,"RWW146",6,0
"24",6.5,30,"a","B2",42.23664147,0.00293310010208333,0.0303775699409028,"RWW146",6,0
"25",6.75,30,"a","B2",43.02659853,0.00298795823125,0.0333655281721528,"RWW146",6,0
"26",7,30,"a","B2",44.05449636,0.003059340025,0.0364248681971528,"RWW146",6,0
"27",7.25,30,"a","B2",43.68792478,0.00303388366527778,0.0394587518624306,"RWW146",6,0
"28",7.5,30,"a","B2",45.15496081,0.00313576116736111,0.0425945130297917,"RWW146",6,0
"29",7.75,30,"a","B2",44.50555832,0.00309066377222222,0.0456851768020139,"RWW146",6,0
"30",8,30,"a","B2",42.12503052,0.00292534934166667,0.0486105261436806,"RWW146",6,0
"31",8.25,30,"a","B2",41.32401455,0.00286972323263889,0.0514802493763194,"RWW146",6,0
"32",8.5,30,"a","B2",39.71728732,0.00275814495277778,0.0542383943290972,"RWW146",6,0
"33",8.75,30,"a","B2",37.5812384,0.00260980822222222,0.0568482025513194,"RWW146",6,0
"34",9,30,"a","B2",35.91835974,0.0024943305375,0.0593425330888194,"RWW146",6,0
"35",9.25,30,"a","B2",33.93593294,0.00235666200972222,0.0616991950985417,"RWW146",6,0
"36",9.5,30,"a","B2",32.39673691,0.00224977339652778,0.0639489684950694,"RWW146",6,0
"37",9.75,30,"a","B2",30.47677195,0.00211644249652778,0.0660654109915972,"RWW146",6,0
"38",10,30,"a","B2",28.30305229,0.00196548974236111,0.0680309007339583,"RWW146",6,0
"39",10.25,30,"a","B2",26.41383465,0.00183429407291667,0.069865194806875,"RWW146",6,0
"40",10.5,30,"a","B2",24.39938178,0.0016944015125,0.071559596319375,"RWW146",6,0
"41",10.75,30,"a","B2",21.9995149,0.00152774409027778,0.0730873404096528,"RWW146",6,0
"42",11,30,"a","B2",20.19873497,0.00140268992847222,0.074490030338125,"RWW146",6,0
"43",11.25,30,"a","B2",18.55203265,0.00128833560069444,0.0757783659388194,"RWW146",6,0
"44",11.5,30,"a","B2",17.20730006,0.00119495139305556,0.076973317331875,"RWW146",6,0
"45",11.75,30,"a","B2",16.82880453,0.00116866698125,0.078141984313125,"RWW146",6,0
"46",12,30,"a","B2",16.11141758,0.00111884844305556,0.0792608327561806,"RWW146",6,0
"47",12.25,30,"a","B2",15.68835089,0.00108946881180556,0.0803503015679861,"RWW146",6,0
"48",12.5,30,"a","B2",15.27937934,0.00106106800972222,0.0814113695777083,"RWW146",6,0
"49",12.75,30,"a","B2",14.45157946,0.00100358190694444,0.0824149514846528,"RWW146",6,0
