"","Time","rep","exp","variable","value","value_J","csum","strain","inoc","drytime"
"1",0.75,29,"a","B2",2.771456502,0.000192462257083333,0.000192462257083333,"Newman",6,0
"2",1,29,"a","B2",1.254204899,8.70975624305556e-05,0.000279559819513889,"Newman",6,0
"3",1.25,29,"a","B2",2.221251221,0.000154253557013889,0.000433813376527778,"Newman",6,0
"4",1.5,29,"a","B2",3.78427191,0.000262796660416667,0.000696610036944445,"Newman",6,0
"5",1.75,29,"a","B2",5.721481213,0.000397325084236111,0.00109393512118056,"Newman",6,0
"6",2,29,"a","B2",6.006424321,0.000417112800069444,0.00151104792125,"Newman",6,0
"7",2.25,29,"a","B2",6.67640044,0.000463638919444444,0.00197468684069444,"Newman",6,0
"8",2.5,29,"a","B2",8.760297871,0.000608354018819444,0.00258304085951389,"Newman",6,0
"9",2.75,29,"a","B2",12.97937585,0.000901345545138889,0.00348438640465278,"Newman",6,0
"10",3,29,"a","B2",16.34421142,0.00113501468194444,0.00461940108659722,"Newman",6,0
"11",3.25,29,"a","B2",20.37148854,0.00141468670416667,0.00603408779076389,"Newman",6,0
"12",3.5,29,"a","B2",24.56131009,0.00170564653402778,0.00773973432479167,"Newman",6,0
"13",3.75,29,"a","B2",28.96181166,0.00201123692083333,0.009750971245625,"Newman",6,0
"14",4,29,"a","B2",34.31040632,0.00238266710555556,0.0121336383511806,"Newman",6,0
"15",4.25,29,"a","B2",38.12817789,0.00264779013125,0.0147814284824306,"Newman",6,0
"16",4.5,29,"a","B2",41.85761362,0.00290677872361111,0.0176882072060417,"Newman",6,0
"17",4.75,29,"a","B2",44.38152425,0.00308205029513889,0.0207702575011806,"Newman",6,0
"18",5,29,"a","B2",46.42794137,0.00322416259513889,0.0239944200963194,"Newman",6,0
"19",5.25,29,"a","B2",47.23586227,0.00328026821319444,0.0272746883095139,"Newman",6,0
"20",5.5,29,"a","B2",47.36890354,0.00328950719027778,0.0305641954997917,"Newman",6,0
"21",5.75,29,"a","B2",46.76406839,0.00324750474930556,0.0338117002490972,"Newman",6,0
"22",6,29,"a","B2",44.34843275,0.00307975227430556,0.0368914525234028,"Newman",6,0
"23",6.25,29,"a","B2",42.85140811,0.00297579222986111,0.0398672447532639,"Newman",6,0
"24",6.5,29,"a","B2",41.98158056,0.00291538753888889,0.0427826322921528,"Newman",6,0
"25",6.75,29,"a","B2",40.31430342,0.00279960440416667,0.0455822366963194,"Newman",6,0
"26",7,29,"a","B2",38.83148252,0.00269663073055556,0.048278867426875,"Newman",6,0
"27",7.25,29,"a","B2",36.69865263,0.00254851754375,0.050827384970625,"Newman",6,0
"28",7.5,29,"a","B2",34.68139431,0.00240843016041667,0.0532358151310417,"Newman",6,0
"29",7.75,29,"a","B2",32.80292705,0.00227798104513889,0.0555137961761806,"Newman",6,0
"30",8,29,"a","B2",31.18999763,0.00216597205763889,0.0576797682338194,"Newman",6,0
"31",8.25,29,"a","B2",28.72923097,0.00199508548402778,0.0596748537178472,"Newman",6,0
"32",8.5,29,"a","B2",25.55639483,0.00177474964097222,0.0614496033588194,"Newman",6,0
"33",8.75,29,"a","B2",23.18284097,0.00160991951180556,0.063059522870625,"Newman",6,0
"34",9,29,"a","B2",20.86815989,0.00144917777013889,0.0645087006407639,"Newman",6,0
"35",9.25,29,"a","B2",19.78742972,0.00137412706388889,0.0658828277046528,"Newman",6,0
"36",9.5,29,"a","B2",18.17177949,0.00126192913125,0.0671447568359028,"Newman",6,0
"37",9.75,29,"a","B2",17.04886407,0.00118394889375,0.0683287057296528,"Newman",6,0
"38",10,29,"a","B2",16.81759558,0.00116788858194444,0.0694965943115972,"Newman",6,0
"39",10.25,29,"a","B2",16.74623709,0.00116293313125,0.0706595274428472,"Newman",6,0
"40",10.5,29,"a","B2",16.00958293,0.00111177659236111,0.0717713040352083,"Newman",6,0
"41",10.75,29,"a","B2",15.93977262,0.00110692865416667,0.072878232689375,"Newman",6,0
"42",11,29,"a","B2",15.47494621,0.00107464904236111,0.0739528817317361,"Newman",6,0
"43",11.25,29,"a","B2",15.03766453,0.00104428225902778,0.0749971639907639,"Newman",6,0
"44",11.5,29,"a","B2",15.22944202,0.00105760014027778,0.0760547641310417,"Newman",6,0
"45",11.75,29,"a","B2",14.5473787,0.00101023463194444,0.0770649987629861,"Newman",6,0
"46",12,29,"a","B2",14.37570148,0.000998312602777778,0.0780633113657639,"Newman",6,0
